"산업별(1)","산업별(2)",시점,데이터
"제조업","소계",2015.11,2080.21
"제조업","소계",2015.12,2067.37
"제조업","소계",2016.01,2163.42
"제조업","소계",2016.02,2038.74
"제조업","소계",2016.03,2200.92
"제조업","소계",2016.04,2213.37
"제조업","소계",2016.05,2224.84
"제조업","소계",2016.06,2133.21
"제조업","소계",2016.07,2224.98
"제조업","소계",2016.08,2126.94
"제조업","소계",2016.09,2198.85
"제조업","소계",2016.10,2017.54
"제조업","소계",2016.11,1910.85
"제조업","소계",2016.12,2028.01
"제조업","소계",2017.01,1940.7
"제조업","소계",2017.02,1942.24
"제조업","소계",2017.03,1925.25
"제조업","소계",2017.04,1971.26
"제조업","소계",2017.05,2050.58
"제조업","소계",2017.06,2123.41
"제조업","소계",2017.07,2047.39
"제조업","소계",2017.08,2072.09
"제조업","소계",2017.09,2054.8
"제조업","소계",2017.10,2217.68
"제조업","소계",2017.11,2441.86
"제조업","소계",2017.12,2544.34
"제조업","소계",2018.01,3067.21
"제조업","소계",2018.02,2824.22
"제조업","소계",2018.03,2947.52
"제조업","소계",2018.04,3041.73
"제조업","소계",2018.05,2991.95
"제조업","소계",2018.06,2729.91
"제조업","소계",2018.07,2588.57
"제조업","소계",2018.08,2741.04
"제조업","소계",2018.09,2808.11
"제조업","소계",2018.10,2167.63
"제조업","소계",2018.11,2320.15
"제조업","소계",2018.12,2257.37
"제조업","소계",2019.01,2382.03
"제조업","소계",2019.02,2448.54
"제조업","소계",2019.03,2457.08
"제조업","소계",2019.04,2512.18
"제조업","소계",2019.05,2314.25
"제조업","소계",2019.06,2252.39
"제조업","소계",2019.07,2037.09
"제조업","소계",2019.08,1990.71
"제조업","소계",2019.09,2029.94
"제조업","소계",2019.10,2190.53
"제조업","소계",2019.11,2105.05
"제조업","소계",2019.12,2211.65
"제조업","소계",2020.01,2105.28
"제조업","소계",2020.02,2007.41
"제조업","소계",2020.03,1883.15
"제조업","소계",2020.04,2094.79
"제조업","소계",2020.05,2346.32
"제조업","소계",2020.06,2391.17
"제조업","소계",2020.07,2675.96
"제조업","소계",2020.08,2793.59
"제조업","소계",2020.09,2837.12
"제조업","소계",2020.10,2661.83
"제조업","소계",2020.11,2934.1
"제조업","소계",2020.12,3144.49
"제조업","소계",2021.01,2992.6
"제조업","소계",2021.02,2905.74
"제조업","소계",2021.03,2997.04
"제조업","소계",2021.04,3199.98
"제조업","소계",2021.05,3141.41
"제조업","소계",2021.06,3334.51
"제조업","소계",2021.07,3332.65
"제조업","소계",2021.08,3363.63
"제조업","소계",2021.09,3305.39
"제조업","소계",2021.10,3113.56
"제조업","소계",2021.11,2943.35
"제조업","소계",2021.12,3130.2
"제조업","소계",2022.01,2710.75
"제조업","소계",2022.02,2758.31
"제조업","소계",2022.03,2940.77
"제조업","소계",2022.04,2905.58
"제조업","소계",2022.05,2900.57
"제조업","소계",2022.06,2455.51
"제조업","소계",2022.07,2648.07
"제조업","소계",2022.08,2691.79
"제조업","소계",2022.09,2248.9
"제조업","소계",2022.10,2353.03
"제조업","소계",2022.11,2460.1
"제조업","소계",2022.12,2285.97
"제조업","소계",2023.01,2450.61
"제조업","소계",2023.02,2646.72
"제조업","소계",2023.03,2916.33
"제조업","소계",2023.04,2934.19
"제조업","소계",2023.05,2961.39
"제조업","소계",2023.06,2984.96
"제조업","소계",2023.07,3249.42
"제조업","소계",2023.08,3116.1
"제조업","소계",2023.09,2820.21
"제조업","소계",2023.10,2426.92
"제조업","소계",2023.11,2726.01
"제조업","소계",2023.12,2884.57
"제조업","소계",2024.01,2612.33
"제조업","소계",2024.02,2843.3
"제조업","소계",2024.03,2972.43
"제조업","소계",2024.04,2862.01
"제조업","소계",2024.05,2703.57
"제조업","소계",2024.06,2669.13
"음식료・담배","소계",2001.01,3509.1
"음식료・담배","소계",2001.02,3524.2
"음식료・담배","소계",2001.03,3509.5
"음식료・담배","소계",2001.04,3519.3
"음식료・담배","소계",2001.05,3636.5
"음식료・담배","소계",2001.06,3780.9
"음식료・담배","소계",2001.07,3289.2
"음식료・담배","소계",2001.08,3161.8
"음식료・담배","소계",2001.09,2891.9
"음식료・담배","소계",2001.10,3629
"음식료・담배","소계",2001.11,3770.1
"음식료・담배","소계",2001.12,3997.2
"음식료・담배","소계",2002.01,4173.7
"음식료・담배","소계",2002.02,4390.8
"음식료・담배","소계",2002.03,4857.6
"음식료・담배","소계",2002.04,4154
"음식료・담배","소계",2002.05,4378.8
"음식료・담배","소계",2002.06,4147.7
"음식료・담배","소계",2002.07,3941.8
"음식료・담배","소계",2002.08,3903.7
"음식료・담배","소계",2002.09,3403.6
"음식료・담배","소계",2002.10,3301.9
"음식료・담배","소계",2002.11,3283.1
"음식료・담배","소계",2002.12,3011.8
"음식료・담배","소계",2003.01,2943.9
"음식료・담배","소계",2003.02,2979.9
"음식료・담배","소계",2003.03,2601.4
"음식료・담배","소계",2003.04,2946.3
"음식료・담배","소계",2003.05,3252.7
