"시점",제조업,음식료・담배,섬유・의류,종이・목재,출판・매체복제,화학,제약,비금속,금속,기계・장비,일반전기전자,의료・정밀기기,운송장비・부품,기타제조업,건설,유통,운송,금융,오락・문화,기타서비스,통신방송서비스,통신방송서비스,IT S/W & SVC,IT S/W & SVC,IT S/W & SVC,IT S/W & SVC,IT H/W,IT H/W,IT H/W,IT H/W
"시점",소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,통신서비스,방송서비스,인터넷,디지털컨텐츠,소프트웨어,컴퓨터서비스,통신장비,정보기기,반도체,IT부품
"2002.09",950,3403.6,912.2,600.8,1005.6,1637.8,753.5,4818.7,1219.9,598.9,1985.1,1316.5,2164.3,1624.5,38.6,516.1,941.3,371.3,0,1381,930.2,1907.4,1023.7,1084.7,564.7,392.5,646.7,378,593.8,905.5
"2002.10",1001.8,3301.9,920.1,618.5,967.2,1791.4,835.1,5076.7,1245.7,636.7,2167.6,1391.8,2496.2,1716.4,38.9,522.8,1031,366.9,0,1268.1,954.7,1820.4,1190.2,1114.1,607.4,406.5,676.5,425.6,663.1,1029.2
"2002.11",1011.4,3283.1,919,602.4,974.7,1832.6,941.6,5449.7,1227.7,627,2196.4,1397,2483.8,1638.1,36,544.5,1100.7,402.2,0,1452.5,1042.5,2033.7,1533.1,1368.7,604.2,414.7,693.9,447,670,1222.5
"2002.12",889.5,3011.8,819,542.1,820.4,1619.2,782.7,4929.8,1111.2,542.5,1849.9,1277.6,2201.9,1497,32.8,477.7,909.6,353.9,0,1202,868.2,1680.3,1392.7,1160.2,496.3,364.6,597.1,381.6,575.5,1037.7
"2003.01",843.4,2943.9,778.7,485.4,822.9,1518.7,731.2,4829.8,1040.1,514.9,1743.9,1183.5,2142.2,1400.3,29.9,456.5,886.2,330.1,1040.8,1301.7,796.5,1738.1,1618.1,1194.9,518.8,371.1,597.5,363.9,542.7,1020.3
"2003.02",840.4,2979.9,777.4,480.7,776.4,1530.4,737,4914.6,1045.2,503,1701.4,1240,2105.2,1390.6,29.9,453.9,994.8,276.2,1028.37,1274.6,745.9,1777,1637.1,1120.1,497.4,346.9,588.6,357.7,543,1020.7
"2003.03",753.7,2601.4,685,463.8,677.4,1414.7,648.1,4510.1,932,462.1,1478.4,1069.4,1947.7,1197.9,26.8,416.6,859.9,214.2,934.84,1168.3,731.3,1623.2,1776.3,980.6,451.5,277.9,480.6,297.3,472.5,924.4
"2003.04",848.5,2946.3,828,486.3,755.1,1577.5,755.8,4838.8,987,545.8,1613,1273.4,2165,1104.3,27.9,468,963.8,237.3,960.54,1220.2,816.5,1841.4,2588.6,1203.7,532.2,317.1,506.5,352.7,569.7,1019.9
"2003.05",937.2,3252.7,874.8,543.4,1014.2,1757.7,794,5357.5,1031.3,610.3,1824.2,1353.7,2444.7,1239.8,30.4,528.3,968.7,260.3,1155.37,1442.9,737.5,2048.5,3493.7,1805.7,587.4,370,548.8,375.9,711.3,1136.5
"2003.06",964.8,3300.9,900.4,522.7,926.1,1673.1,825.2,5959,1057.6,684.4,1886.9,1603.5,2333.4,1200.6,29.7,548.9,1104.8,275.4,1210.37,1508.4,794,1997.5,3714.8,1606.2,631.4,375.9,559.6,394.8,827.9,1318.7
"2003.07",972.1,3583,831.8,498.5,944.8,1631.6,793.9,6203.4,1091.2,676.8,1801.6,1843.4,2425.4,1225.3,29.2,490.8,1027.1,290.3,1162.53,1471.1,734.1,1793.1,4107,1586.6,576.4,352.1,566.9,371.5,859.2,1376.6
"2003.08",977.5,3637.3,757.7,476.4,841.1,1675,794.7,7463.8,1036,735.5,1773.9,1970.1,2307,1113.4,28.7,468.2,1089.5,311.3,1177.01,1483,745.2,1888.3,3882.8,1615,543.5,317.5,522.1,360.3,919.3,1482.5
"2003.09",901,3561.1,688.9,450.2,739.4,1601.5,703.3,6729.6,949.7,665.9,1644.7,1677.1,2217.4,1075.2,28.6,431.5,969.3,305.5,1010.42,1293.8,689.9,1737.2,3034.8,1585.4,498.2,286.5,455.3,328,832.7,1331.9
"2003.10",902.4,3639.1,676.5,437.7,786.7,1650.2,655,7639.1,928.2,666.9,1654.3,1657.7,2182.5,1024.2,28.5,418.2,1136.8,371.1,1055.12,1343.5,701.2,1605,3251.4,1628.5,479.9,270.8,448,330.8,863.2,1443.8
"2003.11",911.1,3987,677.4,454.1,742.2,1734.8,631,8211.6,967.9,644.9,1611.1,1588.8,2185.1,1048.9,27.7,428.4,1229.2,355.9,1010.31,1304.7,691.6,1556.8,3246.3,1509,451,265.8,453.4,318.1,882.8,1410
"2003.12",912.4,4033.2,652.2,455.1,743.8,1779.4,632.2,8585.6,961.6,655.4,1553.1,1522.6,2221.4,983,26.6,411.7,1233.9,317.7,979.72,1301.1,641.8,1713.1,3239.2,1564.5,443.7,261.5,440,323.2,828.9,1424.3
"2004.01",876.9,3662.8,595.5,440.8,695.4,1751,594.6,9170.7,934.3,660.6,1402.6,1551.7,2082.2,938.6,25.7,394,1153.5,306.1,888.16,1241.8,677.7,1423.4,3185.1,1510,431.5,246.7,436.1,290.8,854.6,1436.5
"2004.02",873.1,3679.3,561,502.2,721.1,1773.7,580.8,8550.2,930.5,648.4,1348.5,1667.8,2160.1,864.3,28.4,375.7,1235,302.5,908.56,1140.2,663,1340.8,2971.4,1423.4,404.2,243.6,423,277.6,825,1371.9
"2004.03",866.8,3620.7,568.7,450.8,776.9,1702.1,549.7,8677,940.5,647.4,1414.9,1700.1,1975,804.2,31,380.1,1252.2,304.7,888.25,1133.3,646.1,1446.1,3360,1306.7,394.8,252.2,431.6,298,844.5,1385.8
"2004.04",893.8,3438.8,565.5,432.2,780,1658.8,577.6,10078.6,1027.9,670.6,1567,1705.7,1927.3,777.9,33,390.3,1259.3,309.6,962.08,1101.8,590.9,1493.8,3856.3,1303.9,418.6,277.5,457.4,306,997.3,1502.6
